City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
94,Mar Del Plata,AR,2021-12-01 02:34:47,-38.0023,-57.5575,59.88,72,0,1.01
95,Anadyr,RU,2021-12-01 02:34:48,64.75,177.4833,3.7,77,75,28.99
96,Port Alfred,ZA,2021-12-01 02:34:48,-33.5906,26.891,65.43,81,99,8.5
97,Severo-Kurilsk,RU,2021-12-01 02:34:48,50.6789,156.125,35.13,98,100,16.91
98,Tasiilaq,GL,2021-12-01 02:34:49,65.6145,-37.6368,12.24,87,100,6.89
99,East London,ZA,2021-12-01 02:34:49,-33.0153,27.9116,66.0,81,99,6.87
100,Norman Wells,CA,2021-12-01 02:34:50,65.282,-126.8329,-25.56,68,75,3.44
101,Shelburne,CA,2021-12-01 02:33:37,44.0787,-80.2041,33.57,96,97,16.15
102,Chuy,UY,2021-12-01 02:34:50,-33.6971,-53.4616,63.16,89,62,9.17
103,Lompoc,US,2021-12-01 02:34:10,34.6391,-120.4579,68.52,88,1,4.61
104,Gueret,FR,2021-12-01 02:34:50,46.1667,1.8667,38.64,92,98,11.56
105,Praia,CV,2021-12-01 02:34:51,14.9215,-23.5087,72.14,68,75,16.11
106,Aripuana,BR,2021-12-01 02:34:51,-9.1667,-60.6333,73.81,96,90,0.54
107,Pilar,BR,2021-12-01 02:34:51,-9.5972,-35.9567,78.73,87,98,5.48
108,Hamilton,US,2021-12-01 02:33:11,39.1834,-84.5333,43.77,77,1,0.0
109,Batagay-Alyta,RU,2021-12-01 02:34:52,67.8006,130.4114,-27.35,100,97,1.32
110,Valparaiso,CL,2021-12-01 02:34:52,-33.0393,-71.6273,56.32,87,0,3.44
111,Olafsvik,IS,2021-12-01 02:34:53,64.8945,-23.7142,29.26,56,71,5.35
112,Surgut,RU,2021-12-01 02:33:47,61.25,73.4167,10.58,92,90,13.42
113,Krasnystaw,PL,2021-12-01 02:34:53,50.9846,23.1742,35.8,98,100,14.72
114,Eustis,US,2021-12-01 02:31:22,28.8528,-81.6853,60.91,79,1,3.44
115,Oktyabrskoye,RU,2021-12-01 02:34:53,43.0645,44.7417,41.14,93,50,6.71
116,Saint-Philippe,RE,2021-12-01 02:34:54,-21.3585,55.7679,76.59,77,81,8.03
117,Ahipara,NZ,2021-12-01 02:34:54,-35.1667,173.1667,71.22,60,100,5.14
118,Tuatapere,NZ,2021-12-01 02:33:17,-46.1333,167.6833,67.82,55,6,7.2
119,Hithadhoo,MV,2021-12-01 02:34:55,-0.6,73.0833,81.79,74,85,6.44
120,Bridgetown,BB,2021-12-01 02:30:17,13.1,-59.6167,77.49,94,75,25.32
121,Playas,EC,2021-12-01 02:34:55,-2.6333,-80.3833,72.14,83,100,11.07
122,Victoria,HK,2021-12-01 02:33:30,22.2855,114.1577,67.17,41,2,1.99
123,Pinega,RU,2021-12-01 02:34:56,64.7001,43.3936,17.29,93,100,10.56
124,Constitucion,CL,2021-12-01 02:34:56,-35.3333,-72.4167,52.11,94,9,2.13
125,Redmond,US,2021-12-01 02:30:01,47.674,-122.1215,56.59,85,100,1.01
126,Vestmannaeyjar,IS,2021-12-01 02:34:56,63.4427,-20.2734,26.78,75,4,18.75
127,Tres Arroyos,AR,2021-12-01 02:34:57,-38.3739,-60.2798,49.75,59,46,8.93
128,Banda Aceh,ID,2021-12-01 02:34:57,5.5577,95.3222,82.56,71,73,13.02
129,Geraldton,AU,2021-12-01 02:34:57,-28.7667,114.6,72.12,49,0,21.85
130,Hofn,IS,2021-12-01 02:34:58,64.2539,-15.2082,29.77,73,100,19.64
131,Narsaq,GL,2021-12-01 02:34:58,60.9167,-46.05,43.02,99,100,19.28
132,Freetown,SL,2021-12-01 02:34:58,8.484,-13.2299,78.91,80,14,2.42
133,Serebryansk,KZ,2021-12-01 02:34:59,49.6925,83.2892,11.75,89,100,6.26
134,Zeya,RU,2021-12-01 02:34:59,53.75,127.2667,8.01,52,3,2.62
135,Yeppoon,AU,2021-12-01 02:35:00,-23.1333,150.7333,83.98,70,42,7.11
136,Palaikastron,GR,2021-12-01 02:36:00,35.2,26.25,58.75,51,4,27.72
137,Saint George,US,2021-12-01 02:34:07,37.1041,-113.5841,60.35,33,1,1.01
138,Bluff,NZ,2021-12-01 02:36:00,-46.6,168.3333,67.8,71,12,18.01
139,Rouvroy,FR,2021-12-01 02:36:01,50.3925,2.904,48.9,81,100,22.91
140,Kamaishi,JP,2021-12-01 02:36:01,39.2667,141.8833,54.55,80,100,20.36
141,Klaksvik,FO,2021-12-01 02:36:01,62.2266,-6.589,32.92,61,49,22.08
142,Preobrazheniye,RU,2021-12-01 02:36:02,42.9019,133.9064,22.51,59,100,18.77
143,Lagoa,PT,2021-12-01 02:36:02,39.05,-27.9833,61.99,80,61,10.6
144,Kapaa,US,2021-12-01 02:36:03,22.0752,-159.319,80.92,79,20,1.01
145,Havre-Saint-Pierre,CA,2021-12-01 02:36:03,50.2334,-63.5986,28.4,74,90,18.41
146,Kollam,IN,2021-12-01 02:33:56,8.8833,76.6,78.67,81,59,7.14
147,Houma,US,2021-12-01 02:35:11,29.5958,-90.7195,57.2,88,12,4.25
148,Santiago Del Estero,AR,2021-12-01 02:36:04,-27.7951,-64.2615,75.81,33,1,12.12
149,Wawa,NG,2021-12-01 02:36:04,9.9022,4.4192,74.55,30,7,3.29
150,Waraseoni,IN,2021-12-01 02:36:05,21.75,80.0333,66.16,45,66,5.23
151,Tahta,EG,2021-12-01 02:36:05,26.7693,31.5021,66.52,75,18,14.38
